,Strain,SOK5,Orientation,Zone,oX,dX,oY,dY,Normalized SOK5,Relative SOK5 (mean),Relative SOK5 (median),Normalized strain,Relative strain (mean),Relative strain (median)
98,0.0799435752761871,0.6972591554014964,periclinal,provascular,870.0,884.0,1071.0,1057.0,0.6899905347892568,1.7296437726036202,1.7961319268432154,0.3686353352164864,0.9795078613983959,0.9982418851958027
99,0.046890894152745034,0.42846562363796525,anticlinal,provascular,884.0,1082.0,1057.0,1053.0,0.3955957806751075,1.0628657823408518,1.1037227409768435,0.1634989119385101,0.5745302144911082,0.5855186538235292
100,0.04430989503863837,0.5108923664053455,periclinal,provascular,1082.0,1074.0,1053.0,1100.0,0.48587325316570656,1.2673362453231638,1.3160531251149117,0.14748033466261226,0.5429065485017436,0.5532901550047882
101,0.05172280808391638,0.45515251713562804,periclinal,provascular,1082.0,1095.0,1053.0,996.0,0.42482446559832426,1.1290661596192102,1.1724678855448136,0.19348744865435683,0.6337331919015088,0.6458539447470651
102,0.10961391699804002,0.44120758715697816,anticlinal,provascular,1095.0,1147.0,996.0,987.0,0.4095513516760173,1.094473912088123,1.1365458990664525,0.552779784967024,1.3430434284096022,1.3687304172948735
103,0.04934354230970887,0.599485348908695,periclinal,provascular,884.0,936.0,1057.0,998.0,0.5829042684925839,1.4871028834464946,1.5442676750936797,0.1787208985785605,0.6045812616539433,0.6161444559780005
104,0.06740098594422732,0.4472059459788441,anticlinal,provascular,936.0,1065.0,998.0,1003.0,0.41612102379150995,1.1093536363652583,1.1519976055161316,0.29079166787241983,0.8258299102872227,0.8416246964258902
105,0.0830991500274455,0.5228928802100377,anticlinal,provascular,1065.0,1095.0,1003.0,996.0,0.49901675512275445,1.297105110757964,1.346966316883213,0.38821992853410187,1.0181715096704362,1.037645012685283
106,0.09131797001353527,0.5200954572920595,periclinal,boundary,873.0,898.0,986.0,961.0,0.49595289184193725,1.2901657323476032,1.339760186168486,0.43922878101464236,1.1188725198514404,1.1402720259087338
107,0.08551604551547329,0.47267600955659456,anticlinal,boundary,898.0,943.0,961.0,983.0,0.44401698190868705,1.172535505708669,1.2176082095739322,0.4032200216883926,1.0477844976125292,1.067824377317837
108,0.028931325521678198,0.43876295857914704,periclinal,provascular,943.0,936.0,983.0,998.0,0.40687388460919754,1.0884096868094464,1.13024856269747,0.05203558892295415,0.3544807783647006,0.36126056196758743
109,0.06731241329475615,0.2097301345307612,periclinal,ground,809.0,811.0,948.0,911.0,0.15602684421571333,0.5202634032242527,0.5402625232434696,0.2902419552350422,0.8247446747800271,0.8405187047526455
110,0.10583243872088673,0.327558648923958,periclinal,ground,811.0,841.0,911.0,901.0,0.2850779277549453,0.8125526540379989,0.8437874822987033,0.5293106168961644,1.2967109034082815,1.3215117384808315
111,0.06976433500750498,0.38999204457579284,anticlinal,boundary,841.0,898.0,901.0,961.0,0.3534577880917746,0.9674269689252845,1.0046152238389678,0.30545943330988967,0.8547868211923391,0.8711354359212348
